Status-ID,Kategorie,Linie,Fahrtnummer,"Abfahrtsstation Name","Abfahrtsstation Koordinaten","Abfahrt geplant","Abfahrt real","Zielstation Name","Zielstation Koordinaten","Ankunft geplant","Ankunft real",Reisezeit,Distanz,Punkte,Status-Nachricht,Fahrtzweck,Betreiber
4016732,tram,"STR 99",2647,"Plantagenstr., Potsdam","52.392396,13.103279",2024-12-19T07:34:00+00:00,2024-12-19T07:34:00+00:00,"Platz der Einheit/Nord, Potsdam","52.39921,13.058639",2024-12-19T07:45:00+00:00,2024-12-19T07:46:00+00:00,12,3642,3,,PRIVATE,
4016735,tram,"STR 96",2247,"Platz der Einheit/West, Potsdam","52.398832,13.057928",2024-12-19T07:47:00+00:00,2024-12-19T07:49:00+00:00,"Campus Jungfernsee, Potsdam","52.432353,13.053506",2024-12-19T08:02:00+00:00,2024-12-19T08:04:00+00:00,15,4416,3,"Tatra 🥰",PRIVATE,
4019319,tram,"STR 96",2413,"Campus Jungfernsee, Potsdam","52.432353,13.053506",2024-12-19T14:13:00+00:00,2024-12-19T14:13:00+00:00,"Hauptbahnhof (S), Potsdam","52.390985,13.065758",2024-12-19T14:32:00+00:00,2024-12-19T14:32:00+00:00,19,5483,3,"Der Takt vorher hat mir die Nase direkt vor der Tür zugemacht 🙄",PRIVATE,
4019598,regional,"RB 23",18163,"Potsdam Hbf","52.391551,13.066711",2024-12-19T14:42:00+00:00,2024-12-19T14:45:00+00:00,Berlin-Wannsee,"52.420955,13.179696",2024-12-19T14:50:00+00:00,2024-12-19T14:54:00+00:00,9,8944,7,"Mal wieder überfüllt die Kiste",PRIVATE,"DB Regio Nordost"
4019709,regional,"RE 1",73734,Berlin-Wannsee,"52.420955,13.179696",2024-12-19T14:40:00+00:00,2024-12-19T14:40:00+00:00,"Berlin Hbf","52.524924,13.369629",2024-12-19T14:57:00+00:00,2024-12-19T14:57:00+00:00,2,18549,8,"Überfüllungsvermeidungsmaßnahme | edit: ja gut Wagen 2 abgesperrt, die Kiste ist noch voller. Immerhin sammelt der Hamster vor uns die ganzen Leute auf der Stadtbahn ein",PRIVATE,"Ostdeutsche Eisenbahn GmbH"
4020048,tram,"STR M8",34894,"Berlin Hbf","52.524924,13.369629",2024-12-19T15:27:00+00:00,2024-12-19T15:27:00+00:00,"Naturkundemuseum [Invalidenstr.] (U), Berlin","52.530336,13.382232",2024-12-19T15:32:00+00:00,2024-12-19T15:32:00+00:00,5,971,3,,PRIVATE,
4020830,subway,"U 6",14439,"Naturkundemuseum (U), Berlin","52.531244,13.382223",2024-12-19T16:49:00+00:00,2024-12-19T16:49:00+00:00,"Friedrichstr. Bahnhof (S+U), Berlin","52.520403,13.388246",2024-12-19T16:52:00+00:00,2024-12-19T16:52:00+00:00,3,1304,3,,PRIVATE,
4020934,regional,"RE 1",73743,"Berlin Friedrichstraße","52.520331,13.386925",2024-12-19T16:57:00+00:00,2024-12-19T17:07:00+00:00,"Potsdam Hbf","52.391551,13.066711",2024-12-19T17:29:00+00:00,2024-12-19T17:34:00+00:00,27,29030,9,,PRIVATE,"Ostdeutsche Eisenbahn GmbH"
4022254,tram,"STR 99",2590,"Hauptbahnhof (S), Potsdam","52.390985,13.065758",2024-12-19T21:14:00+00:00,2024-12-19T21:14:00+00:00,"Plantagenstr., Potsdam","52.392396,13.103279",2024-12-19T21:27:00+00:00,2024-12-19T21:28:00+00:00,14,4882,3,,PRIVATE,
4024351,tram,"STR 99",1377,"Plantagenstr., Potsdam","52.392396,13.103279",2024-12-20T09:14:00+00:00,2024-12-20T09:14:00+00:00,"Babelsberg (S)/Wattstr., Potsdam","52.391623,13.094335",2024-12-20T09:16:00+00:00,2024-12-20T09:16:00+00:00,2,614,3,,PRIVATE,
4024394,suburban,"S 7",7072,Potsdam-Babelsberg,"52.391353,13.093049",2024-12-20T09:20:00+00:00,2024-12-20T09:21:00+00:00,"Potsdam Hbf (S)","52.391713,13.067727",2024-12-20T09:22:00+00:00,2024-12-20T09:23:00+00:00,2,1734,4,,PRIVATE,"S-Bahn Berlin GmbH"
4024634,tram,"STR 92",613,"Hauptbahnhof (S), Potsdam","52.390985,13.065758",2024-12-20T09:27:00+00:00,2024-12-20T09:27:00+00:00,"Friedhöfe, Potsdam","52.385672,13.072347",2024-12-20T09:29:00+00:00,2024-12-20T09:29:00+00:00,2,742,3,,PRIVATE,
4024636,tram,"STR 92",373,"Friedhöfe, Potsdam","52.385672,13.072347",2024-12-20T09:53:00+00:00,2024-12-20T09:54:00+00:00,"Hauptbahnhof (S), Potsdam","52.390985,13.065758",2024-12-20T09:57:00+00:00,2024-12-20T09:58:00+00:00,4,742,3,,PRIVATE,
4024739,suburban,"S 7",7551,"Potsdam Hbf (S)","52.391713,13.067727",2024-12-20T10:11:00+00:00,2024-12-20T10:11:00+00:00,"Berlin Hbf","52.524924,13.369629",2024-12-20T10:48:00+00:00,2024-12-20T10:48:00+00:00,37,28015,6,,PRIVATE,"S-Bahn Berlin GmbH"
4026717,suburban,"S 9",9391,"Berlin Hbf","52.524924,13.369629",2024-12-20T13:26:00+00:00,2024-12-20T13:26:00+00:00,"Berlin Alexanderplatz","52.521526,13.411088",2024-12-20T13:32:00+00:00,2024-12-20T13:32:00+00:00,6,3299,4,,PRIVATE,"S-Bahn Berlin GmbH"
4028106,regional,"RB 23",18162,"Berlin Alexanderplatz","52.521526,13.411088",2024-12-20T15:42:00+00:00,2024-12-20T15:42:00+00:00,"Berlin Hbf","52.524924,13.369629",2024-12-20T15:48:00+00:00,2024-12-20T15:48:00+00:00,6,3333,7,,PRIVATE,"DB Regio Nordost"
4028571,regional,"RE 2",3127,"Berlin Hbf","52.524924,13.369629",2024-12-20T16:37:00+00:00,2024-12-20T16:37:00+00:00,"Berlin Zoologischer Garten","52.507242,13.332414",2024-12-20T16:42:00+00:00,2024-12-20T16:42:00+00:00,5,3597,7,,PRIVATE,"DB Regio Nordost"
4028588,regional,"RE 4",3170,"Berlin Hbf","52.3928,13.036498",2024-12-20T11:03:00+00:00,2024-12-20T11:04:00+00:00,"Berlin Südkreuz","52.47623,13.365863",2024-12-20T11:11:00+00:00,2024-12-20T11:11:00+00:00,7,5785,1,,PRIVATE,"DB Regio Nordost"
4029148,regional,"RE 1",73785,"Berlin Zoologischer Garten","52.507242,13.332414",2024-12-20T17:47:00+00:00,2024-12-20T17:48:00+00:00,"Potsdam Hbf","52.391551,13.066711",2024-12-20T18:05:00+00:00,2024-12-20T18:06:00+00:00,18,23887,9,,PRIVATE,"Ostdeutsche Eisenbahn GmbH"
4029308,suburban,"S 7",7599,"Potsdam Hbf (S)","52.391713,13.067727",2024-12-20T18:11:00+00:00,2024-12-20T18:11:00+00:00,Potsdam-Babelsberg,"52.391353,13.093049",2024-12-20T18:14:00+00:00,2024-12-20T18:14:00+00:00,3,1734,4,,PRIVATE,"S-Bahn Berlin GmbH"
4029365,tram,"STR 94",17,"Babelsberg (S)/Wattstr., Potsdam","52.391623,13.094335",2024-12-20T18:07:00+00:00,2024-12-20T18:18:00+00:00,"Plantagenstr., Potsdam","52.392396,13.103279",2024-12-20T18:09:00+00:00,2024-12-20T18:20:00+00:00,2,614,3,,PRIVATE,
4036013,tram,"STR 94",21,"Plantagenstr., Potsdam","52.392396,13.103279",2024-12-21T16:44:00+00:00,2024-12-21T16:44:00+00:00,"Luisenplatz-Süd/Park Sanssouci, Potsdam","52.398617,13.047717",2024-12-21T16:58:00+00:00,2024-12-21T16:58:00+00:00,14,4469,3,,PRIVATE,
4036970,tram,"STR 96",1186,"Brandenburger Str., Potsdam","52.400891,13.057722",2024-12-21T18:55:00+00:00,2024-12-21T18:55:00+00:00,"Hauptbahnhof (S), Potsdam","52.390985,13.065758",2024-12-21T19:02:00+00:00,2024-12-21T19:03:00+00:00,8,1371,3,,PRIVATE,
4036973,suburban,"S 7",7605,"Potsdam Hbf (S)","52.391713,13.067727",2024-12-21T19:11:00+00:00,2024-12-21T19:11:00+00:00,Potsdam-Babelsberg,"52.391353,13.093049",2024-12-21T19:14:00+00:00,2024-12-21T19:14:00+00:00,3,1734,4,,PRIVATE,"S-Bahn Berlin GmbH"
4037055,tram,"STR 99",1337,"Babelsberg (S)/Wattstr., Potsdam","52.391623,13.094335",2024-12-21T19:26:00+00:00,2024-12-21T19:27:00+00:00,"Plantagenstr., Potsdam","52.392396,13.103279",2024-12-21T19:27:00+00:00,2024-12-21T19:29:00+00:00,2,614,3,,PRIVATE,
